city,name,adress,Google Plus-Code,longitude,latitude
Lisbon,"Regus - Lisbon, Miraflores","Torre de Monsanto, R. Afonso Praça 30 7th floor, 1495-061 Lisboa, Portugal","PQ8H+76 Lissabon, Portugal",3871570,-922184
Lisbon,"Regus - Lisbon, Mouzinho da Silveira","R. Mouzinho da Silveira 32, 1250-167 Lisboa, Portugal","PRFX+7Q Lissabon, Portugal",3872314,-915055
Lisbon,Resvés Cowork Space,"R. Saraiva de Carvalho 1C, 1250-240 Lisboa, Portugal","PR9R+9R Lissabon, Portugal",3871848,-915793
Lisbon,Scape Workspaces,"Doca de Santo Amaro Armazém 15, 1350-353 Lisboa, Portugal","MRXC+WG Lissabon, Portugal",3869975,-917873
Lisbon,Second Home Lisbon,"Mercado de Ribeira, Av. 24 de Julho 1o andar, 1200-479 Lisboa, Portugal","PV43+MJ Lissabon, Portugal",3870673,-914587
Lisbon,Selina Secret Garden & Cowork,"Beco Carrasco nº1, 1200-096 Lisboa, Portugal","PR6X+2M Lissabon, Portugal",3871004,-915079
Lisbon,sepion.cowork,"Calçada Moinho de Vento 5, 1150-316 Lisboa, Portugal","PVC5+49 Lissabon, Portugal",3872033,-914160
Lisbon,Sítio Coworking Marquês,"Rua do Conde de Redondo 145 2, 1150-104 Lisboa, Portugal","PVF3+WJ Lissabon, Portugal",3872484,-914598
Lisbon,sitio Work Alto São João,"Parada Alto de São João 17-A porta E, 1900-053 Lisboa, Portugal","PVHG+P8 Lissabon, Portugal",3872927,-912412
Lisbon,sitio Work Alvalade,"R. João Saraiva 36 LOJA 03, 1700-051 Lisboa, Portugal","QV44+JM Lissabon, Portugal",3875655,-914328
Lisbon,sitio Work António Augusto Aguiar,"R. Filipe Folque 2, 1D 1E, 1050-113 Lisboa, Portugal","PRJX+8V Lissabon, Portugal",3873075,-915035
Lisbon,sitio Work Areeiro,"Av. Alm. Reis 256 3D, 1000-058 Lisboa, Portugal","PVR8+CM Lissabon, Portugal",3874111,-913327
Lisbon,sitio Work Fintech House,"Av. Duque de Loulé 12, 1250-217 Lisboa, Portugal","PVH4+J8 Lissabon, Portugal",3872906,-914424
Lisbon,SoHome - Coworking,"R. da Alegria 27, 1250-264 Lisboa, Portugal","PV93+2C Lissabon, Portugal",3871755,-914636
Lisbon,The Base Cowork Space - Coworking in Lisbon,"Tv. do Fala-Só 13B, 1250-096 Lisboa, Portugal","PV84+F9 Lissabon, Portugal",3871614,-914401
Lisbon,The Block Lisboa,"R. Latino Coelho 63 1er Andar, 1050-133 Lisboa, Portugal","PVM2+44 Lissabon, Portugal",3873284,-914973
Lisbon,The Community,"R. de Borges Carneiro 61A, 1200-617 Lisboa, Portugal","PR6R+PX Lissabon, Portugal",3871172,-915754
Lisbon,The Food Tech Hub,"Av. da República 48 2 esq, 1050-195 Lisboa, Portugal","PVR3+2H Lissabon, Portugal",3874006,-914601
Lisbon,The Old Garage,"Santos 20, Jardim 9 de Abril, Travessa do Olival a Santos 18, 1200-736 Lisboa, Portugal","PR3P+VQ Lissabon, Portugal",3870468,-916311
Lisbon,THE THIRD FLOOR,"R. da Madalena 85, 1100-319 Lisboa, Portugal","PV67+3V Lissabon, Portugal",3871013,-913536
Lisbon,Time To Cowork,"Avenida 24 de julho numero 3, 1esquerdo, 1200-161 Lisboa, Portugal","PV43+M2 Lissabon, Portugal",3870674,-914744
Lisbon,Unicorn Workspaces Avenidas Novas,"Av. António Augusto de Aguiar 21, 1050-012 Lisboa, Portugal","PRJX+9F Lissabon, Portugal",3873089,-915124
Lisbon,Unicorn Workspaces Liberdade,"Av. da Liberdade 10, 1250-147 Lisboa, Portugal","PV85+M7 Lissabon, Portugal",3871664,-914185
Lisbon,Unicorn Workspaces Marquês,"R. Filipe Folque 2, 1050-210 Lisboa, Portugal","PRJX+8R Lissabon, Portugal",3873075,-915045
Lisbon,Village Underground Lisboa,"Av. da Índia 52, 1300-299 Lisboa, Portugal","PR2C+6M Lissabon, Portugal",3870054,-917830
Lisbon,VRLAB,"Rua da Sociedade Farmacêutica 56 R/C, 1150-341 Lisboa, Portugal","PVG3+HF Lissabon, Portugal",3872639,-914634
Lisbon,WeWork 50 R. Alexandre Herculano,"R. Alexandre Herculano 50, 1250-011 Lisboa, Portugal","PRCX+P8 Lissabon, Portugal",3872182,-915172
Lisbon,Work Avenida Estrela,"Av. Álvares Cabral 63B, 1250-017 Lisboa, Portugal","PR8R+PW Lissabon, Portugal",3872430,-914856
Lisbon,Work Avenida Liberdade,"Av. da Liberdade 262, 1250-149 Lisboa, Portugal","PVF2+PH Lissabon, Portugal",3872433,-914854
Lisbon,Work Café Santander,"Av. Eng. Duarte Pacheco 21, 1250-096 Lisboa, Portugal","PRFR+M7 Lissabon, Portugal",3872420,-915935
